CatId	ProductCount	category_levels_l0	category_levels_l1	category_levels_l2	category_level_l3	New category name/mapping	action	merge_target
116715	29	Furniture						
116774	26		Bedroom Furniture					
116778	28					Chaise and Daybeds	merge	116774
116780	23					Nightstands and Tables	merge	116774
116776	32					Beds	merge	116774
116754	33		Living Room Furniture					
116756	30					Sofas and Sectionals	merge	116754
116766	27					Cabinets and Shelving	merge	116754
116758	49					Chairs and Benches	merge	116754
120596	47					Living Room Tables	merge	116754
116746	47		Dining Room Furniture					
116749	40					Dining Chairs	merge	116746
116748	25					Dining Tables	merge	116746
116753	50					Kitchen Furniture	merge	116746
116768	9		Home Office Furniture					
116769	29					Office Desks	merge	116768
116771	18					Bookcases	merge	116768
116770	33					Office Chairs	merge	116768
116728	81	Decor & Pillows						
116899	38		Wall Art					
116900	48					Wall Art by Subject	merge	116899
116933	31					Mirrors	merge	116899
116947	38		Baskets					
116885	10		Pillows and Throws					
116898	25					Cushions	merge	116885
116886	47					Pillows	merge	116885
116729	65	Bed & Bath					delete	
116989	3		Bathroom Furniture				delete	
116979	2		Bedroom Furniture				delete	
119555	27	Rugs						
119556	99		Area Rugs					
119559	49		Floor Runners					
119583	45		Wool Rugs					
119582	16		Doormats					
116727	40	Lighting						
116870	54		Floor Lamps					
116871	59		Table Lamps					
116869	42		Pendants & Chandeliers					
