pid	url	availability	price	gender	color	brand	material	collection	style	bread_crumb	title	stock_level	special_offer	season	edited_availability	edited_price	edited_gender	edited_color	edited_brand	edited_material	edited_collection	edited_style	edited_bread_crumb	edited_title	edited_stock_level	edited_special_offer	edited_season
101279	https://pacific.bloomreach.com/apparel/products/101279___101279	TRUE	70	unisex	White	Adidas				kids>tops	Mexico Away Jersey	ok	none	winter	TRUE	70	unisex	White	Adidas				kids>tops	Mexico Away Jersey	ok	none	winter
101280	https://pacific.bloomreach.com/apparel/products/101280___101280	TRUE	160	unisex	Black	Adidas				shoes>sneakers	Five Ten Hiangle Pro Competition Climbing Shoes	unknown	blackfriday	mid-season	TRUE	160	unisex	Black	Adidas				shoes>sneakers	Five Ten Hiangle Pro Competition Climbing Shoes	unknown	blackfriday	mid-season
101282	https://pacific.bloomreach.com/apparel/products/101282___101282	TRUE	110	unisex	Grey	Adidas				men>shoes|shoes>sneakers	EQT Spikeless Golf Shoes	high	none	summer	TRUE	110	unisex	Grey	Adidas				men>shoes|shoes>sneakers	EQT Spikeless Golf Shoes	high	none	summer
101284	https://pacific.bloomreach.com/apparel/products/101284___101284	TRUE	60	unisex	Black	Adidas				men>tops|men>activewear	Tiro 21 Windbreaker	ok	none	mid-season	TRUE	60	unisex	Black	Adidas				men>tops|men>activewear	Tiro 21 Windbreaker	ok	none	mid-season
101288	https://pacific.bloomreach.com/apparel/products/101288___101288	TRUE	20	unisex	White	Adidas				men>accessories|women>accessories|kids>accessories	Athletic Cushioned Crew Socks 6 Pairs	ok	christmas	mid-season	TRUE	20	unisex	White	Adidas				men>accessories|women>accessories|kids>accessories	Athletic Cushioned Crew Socks 6 Pairs	ok	christmas	mid-season
101289	https://pacific.bloomreach.com/apparel/products/101289___101289	TRUE	70	unisex	White	Adidas				kids>tops	Inter Miami CF Home Authentic Jersey	ok	none	mid-season	TRUE	70	unisex	White	Adidas				kids>tops	Inter Miami CF Home Authentic Jersey	ok	none	mid-season
101290	https://pacific.bloomreach.com/apparel/products/101290___101290	TRUE	33.12	unisex	Black	Adidas				men>accessories	Cushioned Mid-Crew Socks 2 Pairs	ok	back2school	summer	TRUE	33.12	unisex	Black	Adidas				men>accessories	Cushioned Mid-Crew Socks 2 Pairs	ok	back2school	summer
101291	https://pacific.bloomreach.com/apparel/products/101291___101291	TRUE	30	unisex	Blue	Adidas				men>accessories|kids>accessories	Tour Camo-Print Hat	ok	mothersday	winter	TRUE	30	unisex	Blue	Adidas				men>accessories|kids>accessories	Tour Camo-Print Hat	ok	mothersday	winter
101294	https://pacific.bloomreach.com/apparel/products/101294___101294	TRUE	50	unisex	White	Adidas				shoes>sneakers	Superstar Shoes	ok	blackfriday	mid-season	TRUE	50	unisex	White	Adidas				shoes>sneakers	Superstar Shoes	ok	blackfriday	mid-season
101297	https://pacific.bloomreach.com/apparel/products/101297___101297	TRUE	80	male	Blue	Adidas				men>shoes	Marvel X Ghosted.3 Firm Ground Cleats	ok	blackfriday	mid-season	TRUE	80	male	Blue	Adidas				men>shoes	Marvel X Ghosted.3 Firm Ground Cleats	ok	blackfriday	mid-season
101298	https://pacific.bloomreach.com/apparel/products/101298___101298	TRUE	130	unisex	Purple	Adidas				shoes>sneakers|men>shoes|women>shoes	Pureboost 21 Shoes	low	back2school	mid-season	TRUE	130	unisex	Purple	Adidas				shoes>sneakers|men>shoes|women>shoes	Pureboost 21 Shoes	low	back2school	mid-season
101299	https://pacific.bloomreach.com/apparel/products/101299___101299	TRUE	70	unisex	Grey	Adidas				men>shoes|women>shoes|shoes>sneakers	Lite Racer BYD 2.0 Shoes	low	back2school	mid-season	TRUE	70	unisex	Grey	Adidas				men>shoes|women>shoes|shoes>sneakers	Lite Racer BYD 2.0 Shoes	low	back2school	mid-season
101300	https://pacific.bloomreach.com/apparel/products/101300___101300	TRUE	25	unisex	Pink	Adidas				men>shoes|women>shoes	Adilette Shower Slides	ok	blackfriday	winter	TRUE	25	unisex	Pink	Adidas				men>shoes|women>shoes	Adilette Shower Slides	ok	blackfriday	winter
101302	https://pacific.bloomreach.com/apparel/products/101302___101302	TRUE	33.12	unisex	White	Adidas				men>accessories|women>accessories|kids>accessories	Conext 21 Mini Ball	unknown	back2school	summer	TRUE	33.12	unisex	White	Adidas				men>accessories|women>accessories|kids>accessories	Conext 21 Mini Ball	unknown	back2school	summer
101304	https://pacific.bloomreach.com/apparel/products/101304___101304	TRUE	80	male	White	Adidas				men>shoes|shoes>sneakers	Copa Sense.3 Turf Shoes	low	none	summer	TRUE	80	male	White	Adidas				men>shoes|shoes>sneakers	Copa Sense.3 Turf Shoes	low	none	summer
101306	https://pacific.bloomreach.com/apparel/products/101306___101306	TRUE	55	female	Green	Adidas	Cotton			women>activewear	Essentials 3-Stripes Full-Zip Hoodie	unknown	back2school	summer	TRUE	55	female	Green	Adidas	Cotton			women>activewear	Essentials 3-Stripes Full-Zip Hoodie	unknown	back2school	summer
101308	https://pacific.bloomreach.com/apparel/products/101308___101308	TRUE	30	unisex	Blue	Adidas				men>tops|men>activewear	adidas Sportswear Future Icons Logo Graphic Tee	ok	blackfriday	winter	TRUE	30	unisex	Blue	Adidas				men>tops|men>activewear	adidas Sportswear Future Icons Logo Graphic Tee	ok	blackfriday	winter
101309	https://pacific.bloomreach.com/apparel/products/101309___101309	TRUE	120	unisex	Blue	Adidas				men>shoes|shoes>sneakers	FutureNatural Shoes	high	none	winter	TRUE	120	unisex	Blue	Adidas				men>shoes|shoes>sneakers	FutureNatural Shoes	high	none	winter
101310	https://pacific.bloomreach.com/apparel/products/101310___101310	TRUE	43	unisex	Black	Adidas				men>shoes|shoes>sneakers	Marvel Superhero Racer TR 2.0 Shoes	low	back2school	winter	TRUE	43	unisex	Black	Adidas				men>shoes|shoes>sneakers	Marvel Superhero Racer TR 2.0 Shoes	low	back2school	winter
101311	https://pacific.bloomreach.com/apparel/products/101311___101311	TRUE	50	unisex	Blue	Adidas				women>activewear	Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket	unknown	back2school	mid-season	TRUE	50	unisex	Blue	Adidas				women>activewear	Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket	unknown	back2school	mid-season
101317	https://pacific.bloomreach.com/apparel/products/101317___101317	TRUE	85	unisex	White	Adidas				shoes>sneakers	Fluidflash Shoes	unknown	blackfriday	mid-season	TRUE	85	unisex	White	Adidas				shoes>sneakers	Fluidflash Shoes	unknown	blackfriday	mid-season
101320	https://pacific.bloomreach.com/apparel/products/101320___101320	TRUE	150	unisex	White	Adidas				men>shoes|shoes>sneakers	ZX 2K Boost Shoes	ok	back2school	summer	TRUE	150	unisex	White	Adidas				men>shoes|shoes>sneakers	ZX 2K Boost Shoes	ok	back2school	summer
101321	https://pacific.bloomreach.com/apparel/products/101321___101321	TRUE	70	unisex	Blue	Adidas	Polyester			shoes>sneakers|men>shoes	Lite Racer BYD 2.0 Shoes	low	mothersday	mid-season	TRUE	70	unisex	Blue	Adidas	Polyester			shoes>sneakers|men>shoes	Lite Racer BYD 2.0 Shoes	low	mothersday	mid-season
101323	https://pacific.bloomreach.com/apparel/products/101323___101323	TRUE	150	unisex	White	Adidas				men>shoes|women>shoes	ZX 2K Boost 2.0 Shoes	high	back2school	summer	TRUE	150	unisex	White	Adidas				men>shoes|women>shoes	ZX 2K Boost 2.0 Shoes	high	back2school	summer
101324	https://pacific.bloomreach.com/apparel/products/101324___101324	TRUE	75	unisex	Grey	Adidas	Polyester			men>shoes|shoes>sneakers	Racer TR21 Shoes	low	valentine	winter	TRUE	75	unisex	Grey	Adidas	Polyester			men>shoes|shoes>sneakers	Racer TR21 Shoes	low	valentine	winter
101326	https://pacific.bloomreach.com/apparel/products/101326___101326	TRUE	150	unisex	Black	Adidas				men>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	ok	none	winter	TRUE	150	unisex	Black	Adidas				men>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	ok	none	winter
101328	https://pacific.bloomreach.com/apparel/products/101328___101328	TRUE	45	unisex	Blue	Adidas	Cotton			kids>activewear	Allover Print Camo Shorts and Tee Set	low	back2school	mid-season	TRUE	45	unisex	Blue	Adidas	Cotton			kids>activewear	Allover Print Camo Shorts and Tee Set	low	back2school	mid-season
101332	https://pacific.bloomreach.com/apparel/products/101332___101332	TRUE	45	female	Purple	Adidas				women>pants|women>activewear	Brand Love Repeat Logo High-Waist Woven Pants	ok	blackfriday	mid-season	TRUE	45	female	Purple	Adidas				women>pants|women>activewear	Brand Love Repeat Logo High-Waist Woven Pants	ok	blackfriday	mid-season
101333	https://pacific.bloomreach.com/apparel/products/101333___101333	TRUE	150	unisex	Green	Adidas				men>shoes|women>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	low	none	mid-season	TRUE	150	unisex	Green	Adidas				men>shoes|women>shoes|shoes>sneakers	ZX 2K Boost 2.0 Shoes	low	none	mid-season
101334	https://pacific.bloomreach.com/apparel/products/101334___101334	TRUE	33.12	unisex	Grey	Adidas				men>accessories|women>accessories	3-Stripes Low Cut Socks 3 Pairs	low	blackfriday	mid-season	TRUE	33.12	unisex	Grey	Adidas				men>accessories|women>accessories	3-Stripes Low Cut Socks 3 Pairs	low	blackfriday	mid-season
101335	https://pacific.bloomreach.com/apparel/products/101335___101335	TRUE	45	unisex	Grey	Adidas				men>activewear|women>activewear	Future Icons 3-Stripes Tapered-Leg Pants	high	easter	summer	TRUE	45	unisex	Grey	Adidas				men>activewear|women>activewear	Future Icons 3-Stripes Tapered-Leg Pants	high	easter	summer
