pid1	page1	pid2	page2	pid3	page3	pid4	page4	pid5	page5		pid6	page6	pid7	page7	pid8	page8	pid9	page9	pid10	page10
91182	#6	95674	#16	99109	#26	97262	#36	99295	#46		32648	#1	87574	#11	86207	#21	81893	#31	94433	#41
94585		99586		99280		2741		89907			94433		94580		97234		68118		86761	
95980		50572		99604		31976		70848			98696		94620		98756		75494		96051	
99094		53326		67894		48919		92411			86457		94701		27108		99975		96092	
35189		86677		7578		99987		97175			97110		99607		72315		77326		96173	
39950		32649		77325		97118		97357			82564		99611		93845		77371		96209	
60753		93827		90376		95746		80373			4145fam		99689		89578		77781		96451	
78385		78381		90929		95750		81876			99440		98716		96563		92266		97602	
97299		22577		90974		119		8093			94735		61543		97108		93855		21819	
97546		97368		91905		90972fam		83115			94190		53196		93050		98639		71035	
31976		82527		98090		91767		96175			100691		87072		97606		99084		84374	
89554				97828		96190		78675			94406		87522		67722		44934		88802	
29432		27142	#17	97832		96226		93703			31966		87603		77338		99430		86200	
30304		28443		91774		71906		93873			32037		94439		25884		92526		86318	
38464		28646		98395		94629		44141			97360		96357fam		2797		94404		86728	
73456		97758		49917		88566		63524			99426		96473		2837		36733		96079	
97284		92474		53552		32037		69898			99589		97652		22675		86314		96083	
98821		91768		88806		35165		86457			86381		97729		77914		86765		96164	
		96699		88810		37604		97771			87515		97814		98788		96200		96245	
97354	#7	25041		94673		27025		98437			93257		97896		80373		93614		99085	
97642		77139		96212		54903		91754			96245		22626		75221		93707		99292	
32038		76582		96060		60483		95403			23283		23189		95859		91195		21193	
91146				96253		47845		22593			28639		22671		96053		81027		59778	
95697		94328	#18	98652		89245		94094			82350		72252		89569		81031		60620fam	
48940		94338		98385		99087		89694			93736		73959		97662		83223		65401	
26937		87072		86325		99334		15613			90922fam		70470		97763		83881		68115	
32602		88616		98655		99456		72200			97711		87904		94338		93844		80382	
98330		98738		94669		15759		31976			31837		88755		27820		79800		81025	
59027		99106		22622		19165		76832			67577		93727		95111		95009		95787	
80686		99273		96824		73322		92537			90742		93362		96737		96724		98054	
72469		86348		96905		73485		94693			96539		95838		87460		96097		98095	
92354		90429		98728		40154					96176		98759		72719		99974		99071	
86207		98862		98444		49326			#47		97312		87583		94489		85754		99111	
97836		86321		98525		96928		96722			32752		98718		32649		88102		99440	
22562		91582		70490		99074		98009			40154		98722		15477		88800		37451	
93663		97419		68116		98736		98095			84980		22679		21547		98719		94566	
93870		63771		86976		97996		93594			97956fam		86144fam		21588		99119		94647	
94635		9590		93636		98067					96072		94323		98067		100146		92536	
		96220		96480		47490					96234		91754		72251				97982	
96746	#8			88614		52011					96478		97730		86375		81893	#32	98008	
94411		98819	#19	25041							96482		90327		97643		68118		98012	
97657		91778		25901		84877	#37				97819		90368		26129		75494		98094	
87910		92632				96220					73307		100146		30315		99975		99269	
97419		22688		87845	#27	96423					89571		12926		68351		77326		99273	
97833		23062		82274		96626					92144		96629		31742		77371		41852	
22645		86347		78500		98453					22730		87040		32061		77781		52008	
86208		97395		93627		99097					46144		84877		35595		92266		55834	
78502		97900		93668		91205							86207		87825		93855		68394	
95715		88102		81029		90931					17694	#2	63537				98639		97149	
99612		88800		93302		91737					39938		86379		96728	#22	99084		76580	
99982		100690		97731		92141					96632		89882		81027		44934		77020	
		12916		98870		92632					96626		90977		100690		99430		71000	
88764fam	#9	98090		99270		97639					96075		91763		98303		92526		71898	
96071		98004		88779fam		93670					96551		60354		87611		94404		86612	
97043		47846		99432		14887					126				7578		93707		98772	
92391		77415		67890		22577					89556		35451	#12	88800		81027		18046	
96081		98824		89765		23062					90428		93617		92634		81031		95915	
72263				97395		77112					94159		93824		87431		83881		96072	
72470		22766	#20	97658		95667					95667		93865		94542		79800		96153	
92397		95730		97702		96576					97368		96209		94579		99119			
59778		26937		99610		93319					82489		96461		94583		100146		66800	#42
14739		68116		98878		70593					98510		17920		94623		96433		67895	
63717		26087		99075		70629					99069		97267		98642		93869		82668	
		91758		29467		97113					63550		97271		71002		99584		84288	
98363	#10	86139		34196		44149					85754		97352		86204		99093		84413	
17928		94487		25083		96527					85920		97389		86452		32563		96146fam	
99275		48181		25949		97995					92512		97393		97270		39539		96159	
2774		54903		60363		92112					59778		17819		96703		99263		92144	
39802		92574		97598		92149					94254		69105		23076		94635		97829	
95085		86612		77798		92356					87824		69763		98073		91586		97630	
97808		90158		87560		94958					94501		72089		33479		97634		97711	
97768		93614		94521		94999					94579		40494		99987		81385		97752	
65323fam		90077		92615		94598					94623		74203		86225		97922		97699	
93805		90791		42858		97270					98025		65541		93644		97841		97789	
71900		97674		96675		97720					GIFTCARDHOLIDAY		81453		93725		22616		99291	
100284		97289		98295		97923					29455		75504		93806		23061		32649	
87927		97958		2797		97964					73320		95395		35451		23183		36834	
78386		99444		2837		98733					75062		97217		94620		50598		96725	
				87081		49709					98330		98770		94701		83409		37603	
				87002							92356		98360		97992		86959		93705	
						44126	#38				89779		95340		97988		90512		93827	
				94411	#28	69994fam					95074		93716		99607		90922		23192	
				94489		95697					98652		92374		99611		90924		75208	
				72719		86715					49709		92536		22118		93721		75537	
				87520		82566							92540		22573		93799		90355	
				97397		96435					86325	#3	92946		22609		95710		96728	
				97606		96106					86447		99269		22695		95747		96181	
				97638		63537					89903		99273		23009		95751		92532	
				92547		63693					95701		97982		71141		2851		86225	
				32802		65641					64626fam		98008		72320		99725		87607	
				80365		65722					98769		98012		72933		99973		95002	
				97615		80086					65400		71906		97390		73644		93868	
				97274		93834					96123fam		97891		97116		15605		96436	
				87080		92525					44126		81876		97198		17842		97368	
				42391		96183					92354		76615		24901fam		17883		17696	
				31837		99249					81030		94740		76158		83425		49254	
				35568		97894					89843		77137		83106		96049		98002	
				26084		98005					89555		54903		86803		96096		86357	
				22720		63542					90512		96055		83110		96096		98098	
				28529		92670					96723		89301		83354		96020		86548fam	
				2348		81074					97674				92142		96098		86686	
				43454		93314					98631		98581	#13	94578		99091		96239	
				86201		95588					98708		99058		94582		97321		94683	
				87458		97289					37606		99062		96283		97358		40209	
				88105		97329					39802		1168				97399		81457	
				88146		96108					63693		78391		97723	#23				
				92627		96149					96672		95400		98353		96433	#33	96474	#43
				99086		15318					86422		97633		40214		93869		93738	
				99090		23134					96657		97921		69652		97657		92437	
				57063		81428					96913		97958		91759		99584		96091	
				74361							96201		98029		84590		99093		96663	
