catid	catname_en	catname_de
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_121300000000	Terminal Blocks, Wiring Systems & Connectors	Klemmenblöcke, Verdrahtungssysteme und Steckverbinder
NA_121305000000	Terminal Block Accessories	Zubehör für Klemmenblöcke
NA_121305160000	Shorting Links/Jumpers	Kurzverbindungen/Jumper
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240605000000	Single Pole Female Receptacles	Einpolige weibliche Steckdosen
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240600000000	Receptacles	Behälter
NA_240605000000	Single Pole Female Receptacles	Einpolige weibliche Steckdosen
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402010000	Nuts	Nüsse
NA_160402011100	Strut Nuts	Strebenmuttern
NA_220000000000	Safety	Sicherheit
NA_221300000000	Warning Signs & Labels	Warnschilder und -etiketten
NA_221309000000	Labels and Markers	Etiketten und Markierungen
NA_221309040000	Printable Labels	Druckbare Etiketten
NA_220000000000	Safety	Sicherheit
NA_221300000000	Warning Signs & Labels	Warnschilder und -etiketten
NA_221309000000	Labels and Markers	Etiketten und Markierungen
NA_221309040000	Printable Labels	Druckbare Etiketten
NA_220000000000	Safety	Sicherheit
NA_221300000000	Warning Signs & Labels	Warnschilder und -etiketten
NA_221309000000	Labels and Markers	Etiketten und Markierungen
NA_221309040000	Printable Labels	Druckbare Etiketten
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402010000	Nuts	Nüsse
NA_160402010700	Hex Nuts	Sechskantmuttern
NA_160000000000	Fasteners & Hardwares	Befestigungselemente & Eisenwaren
NA_160400000000	Fasteners	Befestigungselemente
NA_160402000000	Nuts & Washers	Muttern und Unterlegscheiben
NA_160402010000	Nuts	Nüsse
NA_160402010700	Hex Nuts	Sechskantmuttern
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703060000	Rocker Switches	Kippschalter
NA_240703060300	3-Way	3-Wege
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
NA_251501090400	Auger Bits	Bohrer
NA_270000000000	Connectors, Marking, & Termination	Steckverbinder, Kennzeichnung und Anschluss
NA_270100000000	Wire Bundling	Kabelbündelung
NA_270104000000	Cable Ties	Kabelbinder
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_240000000000	Wiring Devices & Wallplates	Verdrahtungsgeräte & Wanddosen
NA_240700000000	Switches	Schalter
NA_240703000000	Wall Switches	Wandschalter
NA_240703090000	Toggle Switches	Kippschalter
NA_240703090200	Industrial Grade	Industriequalität
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160302000000	Fittings & Accessories	Armaturen und Zubehör
NA_160302250000	Swivel Hooks	Wirbelhaken
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160100000000	Fastener Assortments	Sortimente an Befestigungselementen
NA_160101000000	Anchor Kit	Anker-Set
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_250800000000	Hand Tools	Handwerkzeuge
NA_250855000000	Pliers	Zange
NA_250855260000	Special Purpose Pliers	Spezialzange
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_250800000000	Hand Tools	Handwerkzeuge
NA_250855000000	Pliers	Zange
NA_250855260000	Special Purpose Pliers	Spezialzange
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_250800000000	Hand Tools	Handwerkzeuge
NA_250855000000	Pliers	Zange
NA_250855050000	Diagonal Cutting Pliers	Seitenschneider
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_250800000000	Hand Tools	Handwerkzeuge
NA_250855000000	Pliers	Zange
NA_250855280000	Tongue and Groove Pliers	Wasserpumpenzange
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_250800000000	Hand Tools	Handwerkzeuge
NA_250855000000	Pliers	Zange
NA_250855260000	Special Purpose Pliers	Spezialzange
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_250800000000	Hand Tools	Handwerkzeuge
NA_250855000000	Pliers	Zange
NA_250855280000	Tongue and Groove Pliers	Wasserpumpenzange
NA_220000000000	Safety Products	Sicherheitsprodukte
NA_220900000000	Personal Protective Equipment	Persönliche Schutzausrüstung
NA_221100000000	Safety Apparel	Schutzkleidung
NA_221114000000	Tactical	Taktisch
NA_221114010000	Clothing Belts	Bekleidungsgürtel
NA_250000000000	Tools & Instruments	Werkzeuge und Instrumente
NA_251500000000	Power Tools & Attachments	Elektrowerkzeuge & Zubehör
NA_251501000000	Attachments	Anlagen
NA_251501090000	Drill Bits	Bohrer
NA_251501091800	Drill Bit Sets	Bohrer-Sets
NA_160000000000	Fasteners & Hardware	Befestigungselemente & Hardware
NA_160300000000	Cable, Chain & Rope	Kabel, Kette & Seil
NA_160302000000	Fittings & Accessories	Armaturen und Zubehör
NA_160302170000	J-Hooks	J-Hooks
NA_120000000000	Automation & Controls	Automatisierung und Steuerung
NA_120200000000	Control System Connection Devices	Verbindungsgeräte für Steuerungssysteme
NA_120203000000	Control System Connection Cables	Anschlusskabel für Steuerungssysteme
