manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application	color	height	length	material	size	voltage_rating	weight	type	availability	url	pid	title	description	brand	thumb_image	price	sale_price	category_paths
Rockwell Automation	1492-CJ6-50	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJ6', '1492-CJ6-', '1492-CJ6-5', '1492-CJ6-50']	61132016981	for Use With 1492-W4, W4TW	Gray						0.208	Center Jumper	True	https://pacific.bloomreach.com/supplyglobal/products/1011443___1011443	1011443	AB 1492-CJ6-50 Center Jumper, 6 mm	A-B 1492-CJ6-50 IEC Center Jumper, 50 PL 6mm, Screw	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1011443.jpg	10.81	6.81	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Meltric	63-14163	['63-', '63-1', '63-14', '63-141', '63-1416', '63-14163']	78447454622		Blue			Polyster		208 VAC	0.411	DSN20, Switch Rated	True	https://pacific.bloomreach.com/supplyglobal/products/1141643___1141643	1141643	MELTRIC 63-14163 DSN20 Receptacle	Meltric Corporation 63-14163 DSN20 Receptacle	MELTRIC	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1141643.jpg	5.75	3.62	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240605000000', 'name': 'Single Pole Female Receptacles'}]]
Meltric	63-64043	['63-', '63-6', '63-64', '63-640', '63-6404', '63-64043']	78447454543		Blue			Polyster		480 VAC	1.022	DSN60, Switch Rated	True	https://pacific.bloomreach.com/supplyglobal/products/1144683___1144683	1144683	MELTRIC 63-64043 / RECEPTACLE	Meltric Corporation 63-64043 DSN60 Receptacle	MELTRIC	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1144683.jpg	14.33	9.03	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240605000000', 'name': 'Single Pole Female Receptacles'}]]
Eaton B-Line	N228ZN	['N22', 'N228', 'N228Z', 'N228ZN']	78101140363	STRUT FITTINGS,BF-CHANNEL NUTS (BF)							0.093	Spring Nut	True	https://pacific.bloomreach.com/supplyglobal/products/11482___11482	11482	B-LINE N228ZN Channel Spring Nut	B-Line N228ZN Spring Nut, 3/8-16 thread, 3/8 nut	Eaton	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_11482	5.24	3.3	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardwares'}, {'id': 'NA_160400000000', 'name': 'Fasteners'}, {'id': 'NA_160402000000', 'name': 'Nuts & Washers'}, {'id': 'NA_160402010000', 'name': 'Nuts'}, {'id': 'NA_160402011100', 'name': 'Strut Nuts'}]]
Brady	PTL-43-439	['PTL', 'PTL-', 'PTL-4', 'PTL-43', 'PTL-43-', 'PTL-43-4', 'PTL-43-43', 'PTL-43-439']	66282018620	Asset Tracking; Barcode Labeling; Component & Equipment ID; General & Industrial ID; Panel Labeling; Rating Plates	White		50	Brady B-439 Vinyl			0.615	Label	True	https://pacific.bloomreach.com/supplyglobal/products/1244076___1244076	1244076	BRADY PTL-43-439 SELF-LAM MARKER	Brady PTL-43-439 1.9 Inch x 50 Foot White Vinyl Portable Printer Label	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1244076.jpg	9.11	5.74	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309040000', 'name': 'Printable Labels'}]]
Brady	PTL-18-427	['PTL', 'PTL-', 'PTL-1', 'PTL-18', 'PTL-18-', 'PTL-18-4', 'PTL-18-42', 'PTL-18-427']	66282018369	Cable & Wire Marking; Panel Labeling	Clear/White	1	1 in	Brady B-427 Vinyl	0.75 x 1		0.135	Label	True	https://pacific.bloomreach.com/supplyglobal/products/13076___13076	13076	BRADY PTL-18-427 SELF-LAM MARKER	Brady PTL-18-427 White Self-Laminating Vinyl Labels for TLS2200 / TLS-PC Link Printers, .75 x 1 label, 10-4ga wire	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_13076.jpg	11.13	7.01	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309040000', 'name': 'Printable Labels'}]]
Brady	WML-305-499	['WML', 'WML-', 'WML-3', 'WML-30', 'WML-305', 'WML-305-', 'WML-305-4', 'WML-305-49', 'WML-305-499']	66282032633	Cable & Wire Marking; Panel Labeling	White	0.5		Brady B-499 Polyamide Coated Nylon Cloth			0.100	Label	True	https://pacific.bloomreach.com/supplyglobal/products/13094___13094	13094	BRADY WML-305-499 WIRE MARKER LABEL	LBL,BRDMKR/ID PRO,B499,.5X.5,WHT,250/RL	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_13094.jpg	6.49	4.09	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309040000', 'name': 'Printable Labels'}]]
LH Dottie	2AK	['2AK']	78100259200					Nylon	#10 x 1 IN		1.000	Anchor Kit	True	https://pacific.bloomreach.com/supplyglobal/products/14517___14517	14517	DOTTIE 2AK #10 Anchor Kit	Dottie 2AK 10 x 1 Sheet Metal Screw Anchor Kit (100/Box)	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_14517.jpg	10.51	6.62	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
LH Dottie	HN12	['HN1', 'HN12']	78100217050	General Purpose				Zinc plated steel	1/2-13		0.950	Finished Hex Nut	True	https://pacific.bloomreach.com/supplyglobal/products/14666___14666	14666	DOTTIE HN12 1/2-13 Steel Hex Nut,	Dottie HN12 1/2-13 Zinc Plated Steel Hex Nut	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_14666.jpg	14.74	9.29	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardwares'}, {'id': 'NA_160400000000', 'name': 'Fasteners'}, {'id': 'NA_160402000000', 'name': 'Nuts & Washers'}, {'id': 'NA_160402010000', 'name': 'Nuts'}, {'id': 'NA_160402010700', 'name': 'Hex Nuts'}]]
LH Dottie	HN14	['HN1', 'HN14']	78100217035	General Purpose				Zinc plated steel	1/4-20		0.750	Finished Hex Nut	True	https://pacific.bloomreach.com/supplyglobal/products/14668___14668	14668	DOTTIE HN14 1/4-20 Steel Hex Nut,	Dottie HN14 1/4-20 Zinc Plated Steel Hex Nut	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_14668.jpg	14.43	9.09	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardwares'}, {'id': 'NA_160400000000', 'name': 'Fasteners'}, {'id': 'NA_160402000000', 'name': 'Nuts & Washers'}, {'id': 'NA_160402010000', 'name': 'Nuts'}, {'id': 'NA_160402010700', 'name': 'Hex Nuts'}]]
LH Dottie	WDK8	['WDK', 'WDK8']	78100229786					Zinc	#8 x 1-1/4 IN		1.200	Wall Board Kit	True	https://pacific.bloomreach.com/supplyglobal/products/15081___15081	15081	DOTTIE WDK8 #8 Anchor Kit Wall	Dottie WDK-8 Wall Driller Kit - Phillips/Slotted Screws - Zinc Anchors (50/Box)	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_15081.jpg	12.64	7.97	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
LH Dottie	WDK8N	['WDK', 'WDK8', 'WDK8N']	78100229787					Nylon	#8 x 1-1/4 IN		0.650	Wall Board Kit	True	https://pacific.bloomreach.com/supplyglobal/products/15082___15082	15082	DOTTIE WDK8N #8 Anchor Kit Wall	Dottie WDK-8N Wall Driller Kit - Phillips/Slotted Screws - Nylon Anchors (50/Box)	LH DOTTIE	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_15082.jpg	7.0	4.41	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
