crumbs	demo site navbar	demo site dropdown	crumbs_id	availability	price	url	pid	title	title_de	description	description_de	brand	thumb_image	sale_price	manufacturer	catalog_number	master_upc	application	application-de	color	color-de	height	length	material	material-de	size	size-de	voltage_rating	weight	width	type	type-de
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Hex Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402010700	in stock	11.83	https://pacificsupply.bloomreach.com/products/4556230	4556230	B-Line HEX3/8SS4 Hex Nut	B-Line hex3 / 8SS4 Sechskantmutter	Eaton B-Line NUT,HEX 3/8 SS4 Stainless Steel Hex Nut	Eaton B-Line NUT, HEX 3/8 SS4 Edelstahl Sechskantmutter	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4556230	7.45	Eaton B-Line	NUT,HEX-3/8-SS4	78101102540	Strut Fittings, Hardware Nuts	Strut Beschläge, Hardware-Nüsse					304 Stainless Steel	304 Edelstahl	3/8 In	3/8		0.015		Hex Nut	Sechskantmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	14.32	https://pacificsupply.bloomreach.com/products/4093778	4093778	Thomas & Betts 5/16 Self-Holding Nuts	Thomas & Betts 5/16 Self-Holding-Nüsse	Thomas & Betts B-912-5/16 5/16 Inch-18 Galv Krom Mild Steel Self Holding Spring Channel Nut	Thomas & Betts B-912-5 / 16 5/16 Inch-18 Galv Krom Mild Stahl Selbsthaltefeder Gewindeplatte	Kindorf	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4093778	9.02	ABB Installation Products	B-912-5/16	78599175639	For use with 3/4 in. deep channels.	Für den Einsatz mit 3/4 in. Tiefe Kanäle.							5/16 Inch	5/16 Inch		4.44		Fittings & Hardware	Armaturen & Hardware
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	13.79	https://pacificsupply.bloomreach.com/products/3986668	3986668	Thomas & Betts 1/4 Self-Holding Nuts	Thomas & Betts 1/4 Self-Holding-Nüsse	Thomas & Betts B-911 1/4 Self Holding Nut	Thomas & Betts B-911 1/4 Selbsthaltemutter	Kindorf	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3986668	8.69	ABB Installation Products	B-911-1/4	78599175597	For use with all Kindorf channels.	Für den Einsatz mit allen Kindorf Kanälen.							1/4 Inch	1/4 Zoll		8		Fittings & Hardware	Armaturen & Hardware
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	5.56	https://pacificsupply.bloomreach.com/products/3099493	3099493	Thomas & Betts 1/2 Self-Holding Nuts	Thomas & Betts 1/2 Self-Holding-Nüsse	Thomas & Betts B-911 1/2 Self Holding Nut	Thomas & Betts B-911 1/2 Selbsthaltemutter	Kindorf	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3099493	3.5	ABB Installation Products	B-911-1/2	78599175606	For use with all Kindorf channels.	Für den Einsatz mit allen Kindorf Kanälen.							1/2 Inch	1/2 Zoll		10.19		Fittings & Hardware	Armaturen & Hardware
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	5.41	https://pacificsupply.bloomreach.com/products/4093777	4093777	Thomas & Betts 5/16 Self-Holding Nuts	Thomas & Betts 5/16 Self-Holding-Nüsse	Thomas & Betts B-911-5/16 Self Holding Nut	Thomas & Betts B-911-5 / 16 Selbsthaltemutter	Kindorf	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4093777	3.41	ABB Installation Products	B-911-5/16	78599175600	For use with 1 1/2 in. deep channels.	Für den Einsatz mit 1 1/2 in. Tiefe Kanäle.							5/16 Inch	5/16 Inch		9		Fittings & Hardware	Armaturen & Hardware
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	5.15	https://pacificsupply.bloomreach.com/products/3099499	3099499	Thomas & Betts 3/8 Self-Holding Nuts	Thomas & Betts 3/8 Selbsthaltemuttern	Thomas & Betts B-912-3/8 Self Holding Nut	Thomas & Betts B-912-3 / 8 Selbsthaltemutter	Kindorf	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_3099499	3.24	ABB Installation Products	B-912-3/8	78599175642	For use with 3/4 in. deep channels.	Für den Einsatz mit 3/4 in. Tiefe Kanäle.							3/8 Inch	3/8 Zoll		8.81		Fittings & Hardware	Armaturen & Hardware
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	6.16	https://pacificsupply.bloomreach.com/products/11482	11482	B-Line N228ZN Channel Spring Nut	B-Line N228ZN Kanal Federmutter	B-Line N228ZN Spring Nut, 3/8-16 thread, 3/8 nut	B-Line N228ZN Federmutter, 3 / 8-16 Gewinde, 3/8 nut	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_11482	3.88	Eaton B-Line	N228ZN	78101140363	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)										0.093		Spring Nut	Federmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	14.67	https://pacificsupply.bloomreach.com/products/4331091	4331091	B-Line N255ZN(5/8) Spring Nut	B-Line N255ZN (5/8) Federmutter	SPRING NUT, 5/8-IN.-11 THREAD, 1/2-IN. NUT	Federmutter, 5/8-in.-THREAD 11, ein Halb-IN. NUSS	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4331091	9.24	Eaton B-Line	N255ZN	78101140373	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)					Steel	Stahl	5/8 In-11 TPI	5/8 In-11 TPI		0.164		Spring Nut	Federmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	13.05	https://pacificsupply.bloomreach.com/products/4681166	4681166	B-Line N724ZN Spring Nut 1/4-20	B-Line N724ZN Federmutter 1 / 4-20	Eaton B-Line N724ZN 1/4 Inch Nut Spring Nut	Eaton B-Line N724ZN 1/4 Zoll Mutter Federmutter	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4681166	8.22	Eaton B-Line	N724ZN	78101140523	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)					Steel	Stahl	1/4 In-20 TPI	1/4 In-20 TPI		0.067		Spring Nut	Federmutter
Fasteners & Hardwares|Fasteners|Nuts & Washers|Nuts|Strut Nuts	Fasteners		PNB160000000000|PNB160400000000|PNB160402000000|PNB160402010000|PNB160402011100	in stock	14.66	https://pacificsupply.bloomreach.com/products/4448166	4448166	B-Line N224SS6 Channel Spring Nut	B-Line N224SS6 Kanal Federmutter	Eaton B-Line N224SS6 1/4 Inch Spring Nut	Eaton B-Line N224SS6 1/4 Zoll Federmutter	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448166	9.23	Eaton B-Line	N224SS6	78101140334	STRUT FITTINGS,BF-CHANNEL NUTS (BF)	Mast-Beschlagteile, BF-Nutensteine ​​(BF)					316 Stainless Steel	316 Edelstahl	1/4 In-20 TPI	1/4 In-20 TPI		0.07		Spring Nut	Federmutter
