crumbs	crumbs_de	demo site navbar	demo site dropdown	crumbs_id	availability	price	url	pid	title_old	title_de	description_old	description_de	brand	thumb_image	sale_price	manufacturer	catalog_number	master_upc	application_old	application_de	color_old	color_de	height	length	material_old	material_de	size_old	size_de	voltage_rating	weight_old	weight_de	width	type_old	type_de
Verschlüsse & Hardware|Kabel, Chain & Rope|Ropes|Wire Ropes	Verschlüsse & Hardware|Kabel, Kette & Seil|Seile|Drahtseil	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	8.86	https://pacificsupply.bloomreach.com/products/4684906	4684906	B-Line BKP20125 Kwikpak Wire Rope	B-Line BKP20125 Kwikpak Drahtseil	Eaton B-Line BKP20125 Kwikpak Wire Rope and Clamp Kit	Eaton B-Line BKP20125 Kwikpak Drahtseil und Clamp Kit	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4684906.jpg	5.58	Eaton B-Line	BKP20125	78205140761	Verschlüsse,KWIK WIRE	Verschlüsse, KWIK WIRE					Cold-Rolled High-Carbon Steel	Kaltgewalztes High-Carbon Stahl				31	14.061		Lighting Wire Rope and Clamp Kit	Beleuchtung Drahtseil und Clamp Kit
Verschlüsse & Hardware|Kabel, Chain & Rope|Ropes|Wire Ropes	Verschlüsse & Hardware|Kabel, Kette & Seil|Seile|Drahtseil	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	7.4	https://pacificsupply.bloomreach.com/products/4553477	4553477	B-Line BKP10063 Kwikpak Wire Rope	B-Line BKP10063 Kwikpak Drahtseil	Eaton B-Line BKP10063 Kwikpak Wire Rope and Clamp Kit	Eaton B-Line BKP10063 Kwikpak Drahtseil und Clamp Kit	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4553477	4.66	Eaton B-Line	BKP10063	78205140749	Verschlüsse,KWIK WIRE,Lighting, Ductwork, Kabel Tray	Verschlüsse, KWIK WIRE, Beleuchtung, Lüftungssysteme, Kabelrinne					Cold-Rolled High-Carbon Steel	Kaltgewalztes High-Carbon Stahl				9.1	4.128		Lighting Wire Rope and Clamp Kit	Beleuchtung Drahtseil und Clamp Kit
Verschlüsse & Hardware|Kabel, Chain & Rope|Ropes|Wire Ropes	Verschlüsse & Hardware|Kabel, Kette & Seil|Seile|Drahtseil	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	13.68	https://pacificsupply.bloomreach.com/products/4824844	4824844	B-Line BKC100 Kwikwire Clamp	B-Line BKC100 Kwikwire Klammer	Eaton B-Line BKC100 KwikWire Clamp	Eaton B-Line BKC100 KwikWire Clamp	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4824844	8.62	Eaton B-Line	BKC100	78205154697	Verschlüsse,KWIK WIRE	Verschlüsse, KWIK WIRE				1.26 cm						0.041	0.019		Wire Clamp	Drahtklemme
Verschlüsse & Hardware|Kabel, Chain & Rope|Ropes|Wire Ropes	Verschlüsse & Hardware|Kabel, Kette & Seil|Seile|Drahtseil	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303120000	in stock	8.36	https://pacificsupply.bloomreach.com/products/4657750	4657750	B-Line BKL-094-120K Kwikwire	B-Line BKL-094-120K Kwikwire	Eaton B-Line BKL-094-120K KwikWire Loop Style Accessory	Eaton B-Line BKL-094-120K KwikWire Loop-Style-Accessoire	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4657750.jpg	5.27	Eaton B-Line	BKL-094-120K	78205167353	Verschlüsse,KWIK WIRE	Verschlüsse, KWIK WIRE										0.193	0.088			
Verschlüsse & Hardware|Kabel, Chain & Rope|Ropes|Twines	Verschlüsse & Hardware|Kabel, Kette & Seil|Seile|Schnur	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160303000000|PNB160303110000	in stock	9.85	https://pacificsupply.bloomreach.com/products/4500909	4500909	Cully 67699 6500' Two-Ply	Cully 67699 6500 Zweilagig	Cully 67699 6500' Two-Ply Polypropylene Blow Twine, 200#	Cully 67699 6500 Zweilagig Polypropylen Schlag Twine, 200 #	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4500909.jpg	6.2	Minerallac	67699	8593767699													0.000		Blow Twine	Schlag Twine
Verschlüsse & Hardware|Kabel, Chain & Rope|Chains|Jack Chains	Verschlüsse & Hardware|Kabel, Kette & Seil|Ketten|Kettenwinde	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160301000000|PNB160301030000	in stock	13.31	https://pacificsupply.bloomreach.com/products/4448110	4448110	B-Line BH9 #12 Single Jack Chain	B-Line BH9 # 12 Einzel-Jack-Kette	Eaton B-Line BH9 Single Jack Chain	Eaton B-Line BH9 Einzel Jack Kette	EATON B-LINE SERIES	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4448110	8.38	Eaton B-Line	BH9	78101118850	Verschlüsse,HANGER Verschlüsse,Light Fixtures, Signs	Verschlüsse, HANGER Verschlüsse, Leuchten, Schilder					Steel	Stahl	#12 X 100 Feet	# 4 X 30 m		0.087	0.039		Jack Chain, Single	Jack-Kette, Einzel
Verschlüsse & Hardware|Kabel, Chain & Rope|Chains|Jack Chains	Verschlüsse & Hardware|Kabel, Kette & Seil|Ketten|Kettenwinde	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160301000000|PNB160301030000	in stock	11.82	https://pacificsupply.bloomreach.com/products/4568539	4568539	Cully 72014 #14 Jack Chain, Zinc	Cully 72014 # 14 Jack-Kette, Zink	Minerallac 72014 14 AWG 16 lb Zinc Plated Steel Jack Chain	Minerallac 72014 14 AWG 16 kg verzinktes Stahl Jack Kette	Minerallac	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4568539	7.45	Minerallac	72014	8593772014	Ideal for hanging signs, lighting fixtures and novelties such as flower pots, children's toys and other general utility applications.	Ideal für Schilder hängen, Leuchten und Neuheiten wie Blumentöpfe, Kinderspielzeug und andere allgemeine Utility-Anwendungen.				200 m	Steel	Stahl	#14 GA	# 14 GA		9.6	4.354		Tenso Chain	Tenso Kette
Verschlüsse & Hardware|Kabel, Chain & Rope|Chains|Jack Chains	Verschlüsse & Hardware|Kabel, Kette & Seil|Ketten|Kettenwinde	Kabel & Chain		PNB160000000000|PNB160300000000|PNB160301000000|PNB160301030000	in stock	9.49	https://pacificsupply.bloomreach.com/products/4053246	4053246	Arlington JC12 100' #12 Jack Chain	Arlington JC12 100 m # 12 Jack-Kette	Arlington JC12 100 Foot #12 Jack Chain	Arlington JC12 100 m # 12 Jack-Kette	Arlington	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4053246.jpg	5.98	Arlington Industries	JC12	1899713120						100 m	Zinc-plated Steel	Verzinkter Stahl	L(6.250) x W(6.250) x H(4.250) IN	L (6,250) x W (1,000) x H (4,250) cm		0.088	0.040		Jack Chain	Jack Kette
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Bohrer Sets	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Bohrersets	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501091800	in stock	9.22	https://pacificsupply.bloomreach.com/products/322961	322961	Klein 53000 29-PC Bohrer Set	Klein 53000 29-PC Bohrer Set	Klein 53000 29pc Bohrer Set	Klein 53000 29pc Bohrer Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_322961.jpg	5.81	Klein Tools	53000	9264453000	General Purpose	Allgemeiner Zweck										3.28	1.488		Regular-Point Bohrers	Regelmäßige Punktbohrer
Tools & Instruments|Power Tools & Attachments|Attachments|Bohrers|Bohrer Sets	Werkzeuge & Instrumente|Elektrowerkzeuge & Zusatzgeräte|Zusatzgeräte|Bohrer|Bohrersets	Tools	Power Tools	PNB250000000000|PNB251500000000|PNB251501000000|PNB251501090000|PNB251501091800	in stock	9.91	https://pacificsupply.bloomreach.com/products/2193288	2193288	Klein 53002 13PC Bohrer Set	Klein 53002 13PC Bohrer Set	Klein 53002 13pc Bohrer Set	Klein 53002 13pc Bohrer Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2193288.jpg	6.24	Klein Tools	53002	9264453002	General Purpose	Allgemeiner Zweck										0.66	0.299		Regular-Point Bohrers	Regelmäßige Punktbohrer
