pid	brand
6	Pacific Goods
6	Pacific Goods
6	Pacific Goods
100002	Pacific Style
100002	Pacific Style
100003	Pacific Style
100003	Pacific Style
100004	Pacific Style
100004	Pacific Style
100009	Pacific Style
100009	Pacific Style
100010	Pacific Style
100010	Pacific Style
100011	Pacific Style
100011	Pacific Style
100012	Pacific Style
100012	Pacific Style
100014	Pacific Style
100014	Pacific Style
100015	Pacific Style
100015	Pacific Style
100016	Pacific Style
100016	Pacific Style
100018	Pacific Abode
100018	Pacific Abode
100019	Pacific Abode
100019	Pacific Abode
100020	Pacific Abode
100020	Pacific Abode
100062	Pacific Style
100062	Pacific Style
100063	Pacific Style
100063	Pacific Style
100067	Pacific Abode
100067	Pacific Abode
100068	Pacific Abode
100068	Pacific Abode
100073	Pacific Style
100073	Pacific Style
100086	Pacific Style
100086	Pacific Style
100101	Pacific Goods
100101	Pacific Goods
100101	Pacific Goods
100101	Pacific Goods
100103	Pacific Goods
100103	Pacific Goods
100145	Pacific Goods
100145	Pacific Goods
100146	PacMart
100146	PacMart
100147	PacMart
100147	PacMart
100148	Go Green
100148	Go Green
100149	Pacific Goods
100149	Pacific Goods
100151	Go Green
100151	Go Green
100152	PacMart
100152	PacMart
100156	PacMart
100156	PacMart
100157	PacMart
100157	PacMart
100171	Pacific Abode
100171	Pacific Abode
100172	Pacific Abode
100172	Pacific Abode
100177	Pacific Abode
100177	Pacific Abode
100177	Pacific Abode
100178	Pacific Abode
100178	Pacific Abode
100178	Pacific Abode
100190	Pacific Abode
100190	Pacific Abode
100191	Pacific Abode
100191	Pacific Abode
100192	Pacific Abode
100192	Pacific Abode
100193	Pacific Abode
100193	Pacific Abode
100194	Pacific Style
100194	Pacific Style
100195	Pacific Abode
100195	Pacific Abode
100196	Pacific Abode
100196	Pacific Abode
100197	Pacific Style
100197	Pacific Style
100198	Pacific Abode
100198	Pacific Abode
100200	Pacific Abode
100200	Pacific Abode
100201	Pacific Abode
100201	Pacific Abode
100202	Pacific Abode
100202	Pacific Abode
100203	Pacific Abode
100203	Pacific Abode
100204	Pacific Abode
100204	Pacific Abode
100205	Pacific Abode
100205	Pacific Abode
100207	Pacific Abode
100207	Pacific Abode
100212	Pacific Abode
100212	Pacific Abode
100222	Pacific Goods
100222	Pacific Goods
100224	Pacific Style
100224	Pacific Style
100225	Pacific Style
100225	Pacific Style
100283	Pacific Goods
100283	Pacific Goods
100284	Pacific Style
100284	Pacific Style
100285	Pacific Style
100285	Pacific Style
100286	Pacific Style
100286	Pacific Style
100287	Pacific Style
100287	Pacific Style
100288	Pacific Style
100288	Pacific Style
100289	Pacific Style
100289	Pacific Style
100290	Pacific Style
100290	Pacific Style
100291	Pacific Style
100291	Pacific Style
100292	Pacific Style
100292	Pacific Style
100293	Pacific Style
100293	Pacific Style
100294	Pacific Style
100294	Pacific Style
100295	Pacific Style
100295	Pacific Style
100296	Pacific Style
100296	Pacific Style
100385	PacMart
100385	PacMart
100389	Go Green
100389	Go Green
100395	PacMart
100395	PacMart
100396	PacMart
100396	PacMart
100397	PacMart
100397	PacMart
100398	PacMart
100398	PacMart
100416	Pacific Style
100416	Pacific Style
100420	PacMart
100420	PacMart
100421	Pacific Goods
100421	Pacific Goods
100422	PacMart
100422	PacMart
100423	PacMart
100423	PacMart
100431	PacMart
100431	PacMart
100432	PacMart
100432	PacMart
100433	Pacific Goods
100433	Pacific Goods
100440	PacMart
100440	PacMart
100441	Pacific Goods
100441	Pacific Goods
100442	PacMart
100442	PacMart
100445	Pacific Goods
100445	Pacific Goods
100446	PacMart
100446	PacMart
100447	PacMart
100447	PacMart
100448	PacMart
100448	PacMart
100449	PacMart
100449	PacMart
100450	Pacific Goods
100450	Pacific Goods
100451	Pacific Goods
100451	Pacific Goods
100452	Pacific Goods
100452	Pacific Goods
100453	Go Green
100453	Go Green
100454	Go Green
100454	Go Green
100455	Go Green
100455	Go Green
100462	PacMart
100462	PacMart
100463	PacMart
100463	PacMart
100464	PacMart
100464	PacMart
100465	PacMart
100465	PacMart
100466	PacMart
100466	PacMart
100481	PacMart
100481	PacMart
100482	PacMart
100482	PacMart
100483	PacMart
100483	PacMart
