L1 Category	L2 Category	L2 catId
		
Furniture		
	Living Room	116754
	Dining Room	116746
	Bedroom	116774
	Home office	116768
		
Decord and Pillows		
	Wall art	116899
	Candles	116940
	Basket	116947
	Pillows&Throws	116885

Rugs and Curtains		
	Area Rugs	119556
	Curtain	119563
	One of a kind	119561
	Doormat	119582
		
Lighting		
	Table lamps	116871
	Floor Lamps	116870
	Accent Lighting	116873
	Pendant and Chandeliers	116869
		
Outdoor	Outdoor	116815

Jewelry & Clothing
	Jewelry & Clothing	117243
	Pajamas and Robes	117246
	Women's Dresses	117244

