category_id	name	parent_category_id	breadcrumb	sequence	url	primary_category	
116982	Bath Towels	116980	/116729/116980/116982	0	https://www.worldmarket.com/category/bed-bath/bath-towel-collections/bath-towels.do	true	
116983	Hand Towels	116980	/116729/116980/116983	116983	https://www.worldmarket.com/category/bed-bath/bath-towel-collections/hand+towels.do	true	
116984	Solid Towels	116980	/116729/116980/116984	116984	https://www.worldmarket.com/category/bed-bath/bath-towel-collections/solid+towels.do	true	
116985	Patterned Towels	116980	/116729/116980/116985	116985	https://www.worldmarket.com/category/bed-bath/bath-towel-collections/patterned+towels.do	true	
116986	Shower Curtains and Rings	116729	/116729/116986	2	https://www.worldmarket.com/category/bed-bath/shower-curtains-rings.do	true	
116987	Bath Rugs & Bath Mats	116729	/116729/116987	0	https://www.worldmarket.com/category/bed-bath/rugs-bath-mats.do	true	
116988	Bath Accessories	116729	/116729/116988	4	https://www.worldmarket.com/category/bed-bath/bath-accessories.do	true	
116989	Bathroom Furniture	116729	/116729/116989	13	https://www.worldmarket.com/category/bed-bath/bathroom-furniture.do	true	
116990	Bath & Body	116729	/116729/116990	3	https://www.worldmarket.com/category/bed-bath/skin-care.do	true	
116991	Soaps and Lotions	116990	/116729/116990/116991	1	https://www.worldmarket.com/category/bed-bath/skin-care/soap-hand-cream-lotion.do	true	
116992	Spa and Relaxation	116990	/116729/116990/116992	2	https://www.worldmarket.com/category/bed-bath/skin-care/bath-salts-bubble-bath.do	true	
116993	Pajamas and Robes	116729	/116729/116993	14	https://www.worldmarket.com/category/bed-bath/robes.do	true	
116994	Cleaning and Laundry Essentials	116729	/116729/116994	8	https://www.worldmarket.com/category/bed-bath/laundry-room-accessories.do	true	
117015	Sunbrella&#xAE; Outdoor Cushions	116834	/116725/116834/117015	6	https://www.worldmarket.com/category/outdoor/cushions-pillows/sunbrella.do	false	
117016	Shop All Dining	116730	/116730/117016	6	https://www.worldmarket.com/category/dining/all.do	true	
117017	Dinnerware	116730	/116730/117017	0	https://www.worldmarket.com/category/dining/dinnerware.do	true	
117018	Dinnerware Sets	117017	/116730/117017/117018	0	https://www.worldmarket.com/category/dining/dinnerware/collections.do	true	
117019	Dinner Plates	117017	/116730/117017/117019	1	https://www.worldmarket.com/category/dining/dinnerware/dinner-plates.do	true	
117020	Appetizer, Salad and Dessert Plates	117017	/116730/117017/117020	3	https://www.worldmarket.com/category/dining/dinnerware/appetizer-dessert-plates.do	true	
117021	Chargers	117017	/116730/117017/117021	2	https://www.worldmarket.com/category/dining/dinnerware/chargers.do	true	
117022	Bowls	117017	/116730/117017/117022	4	https://www.worldmarket.com/category/dining/dinnerware/bowls.do	true	
117023	Outdoor Dinnerware	117017	/116730/117017/117023	5	https://www.worldmarket.com/category/dining/dinnerware/outdoor-dinnerware.do	true	
117024	Kids Dinnerware	117017	/116730/117017/117024	6	https://www.worldmarket.com/category/dining/dinnerware/kids-dinnerware.do	true	
117025	Asian Dinnerware	117017	/116730/117017/117025	7	https://www.worldmarket.com/category/dining/dinnerware/asian-entertaining.do	true	
117026	Serveware	116730	/116730/117026	3	https://www.worldmarket.com/category/dining/serveware.do	true	
117027	Serving Bowls	117026	/116730/117026/117027	0	https://www.worldmarket.com/category/dining/serveware/serving-bowls.do	true	
117028	Serving Trays	117026	/116730/117026/117028	117028	https://www.worldmarket.com/category/dining/serveware/bar-serving-carts.do	true	
117029	Specialty Serveware	117026	/116730/117026/117029	117029	https://www.worldmarket.com/category/dining/serveware/specialty.do	true	
117030	Cake Stands and Carriers	117026	/116730/117026/117030	117030	https://www.worldmarket.com/category/dining/serveware/cake-stands-carriers.do	true	
117031	Serving Platters	117026	/116730/117026/117031	117031	https://www.worldmarket.com/category/dining/serveware/serving-trays-platters.do	true	
117032	Outdoor Serveware	117026	/116730/117026/117032	117032	https://www.worldmarket.com/category/dining/serveware/outdoor.do	true	
117033	Drinkware	116730	/116730/117033	2	https://www.worldmarket.com/category/dining/drinkware.do	true	
117034	Glassware Sets	117033	/116730/117033/117034	0	https://www.worldmarket.com/category/dining/drinkware/glassware-sets.do	true	
117035	Wine Glasses	117033	/116730/117033/117035	117035	https://www.worldmarket.com/category/dining/drinkware/wine-glasses.do	true	
117036	Beer Glasses	117033	/116730/117033/117036	117036	https://www.worldmarket.com/category/dining/drinkware/beer-glasses.do	true	
117037	Everyday Drinkware	117033	/116730/117033/117037	117037	https://www.worldmarket.com/category/dining/drinkware/drinking-glasses.do	true	
117038	Barware	117033	/116730/117033/117038	117038	https://www.worldmarket.com/category/dining/drinkware/cocktail-glasses-barware.do	true	
117040	Martini Glasses	117033	/116730/117033/117040	117040	https://www.worldmarket.com/category/dining/drinkware/martini-glasses.do	true	
117041	Champagne Flutes	117033	/116730/117033/117041	117041	https://www.worldmarket.com/category/dining/drinkware/champagne-flutes.do	true	
117042	Acrylic Glasses	117033	/116730/117033/117042	117042	https://www.worldmarket.com/category/dining/drinkware/acrylic-glasses.do	true	
117043	Coffee Mugs and Teacups	117033	/116730/117033/117043	117043	https://www.worldmarket.com/category/dining/drinkware/coffee-mugs-teacups.do	true	
117044	Pitchers and Drink Dispensers	117033	/116730/117033/117044	117044	https://www.worldmarket.com/category/dining/drinkware/drink-dispensers-pitchers.do	true	
117045	Decanters	117033	/116730/117033/117045	117045	https://www.worldmarket.com/category/dining/drinkware/wine-decanters.do	true	
117046	Bar	116730	/116730/117046	7	https://www.worldmarket.com/category/dining/bar.do	true	
117047	Bar Carts and Butler Trays	117046	/116730/117046/117047	0	https://www.worldmarket.com/category/dining/bar/bar-carts-butler-trays.do	true	
117048	Bar Tools & Accessories	117046	/116730/117046/117048	117048	https://www.worldmarket.com/category/dining/bar/bar-accessories.do	true	
117049	Wine Racks	117046	/116730/117046/117049	117049	https://www.worldmarket.com/category/dining/bar/wine-racks.do	true	
117050	Wine Accessories	117046	/116730/117046/117050	117050	https://www.worldmarket.com/category/dining/bar/wine-accessories.do	true	
117051	Flatware	116730	/116730/117051	5	https://www.worldmarket.com/category/dining/flatware.do	true	
117052	Flatware Sets	117051	/116730/117051/117052	0	https://www.worldmarket.com/category/dining/flatware/flatware-sets.do	true	
117053	Serving Utensils and Sets	117051	/116730/117051/117053	117053	https://www.worldmarket.com/category/dining/flatware/serving-utensils-sets.do	true	
117054	Cutlery	117051	/116730/117051/117054	117054	https://www.worldmarket.com/category/dining/flatware/knives-cutlery.do	true	
117055	Reusable Chopsticks	117051	/116730/117051/117055	117055	https://www.worldmarket.com/category/dining/flatware/reusable-chopsticks.do	true	
117056	Table Linens	116730	/116730/117056	1	https://www.worldmarket.com/category/dining/table-linens.do	true	
117057	Placemats and Napkins	117056	/116730/117056/117057	0	https://www.worldmarket.com/category/dining/table-linens/placemats-napkins.do	true	
117058	Tablecloths and Runners	117056	/116730/117056/117058	1	https://www.worldmarket.com/category/dining/table-linens/tablecloths-runners.do	true	
117059	Table Linen Collections	117056	/116730/117056/117059	4	https://www.worldmarket.com/category/dining/table-linens/table-linen-collections.do	true	
117060	Buffet Napkins	117056	/116730/117056/117060	2	https://www.worldmarket.com/category/dining/table-linens/buffet-napkin.do	true	
117061	Napkin Rings	117056	/116730/117056/117061	3	https://www.worldmarket.com/category/dining/table-linens/napkin-rings.do	true	
117062	Aprons, Kitchen Towels and Pot Holders	117056	/116730/117056/117062	6	https://www.worldmarket.com/category/dining/table-linens/aprons-kitchen-towels-pot-holders.do	true	
117063	Chair Cushions	117056	/116730/117056/117063	5	https://www.worldmarket.com/category/dining/table-linens/chair-cushions.do	true	
117064	Entertaining Essentials	116730	/116730/117064	9	https://www.worldmarket.com/category/dining/entertaining-essentials.do	true	
117065	Outdoor Dining and Entertaining	116730	/116730/117065	11	https://www.worldmarket.com/category/dining/outdoor.do	true	
117066	Dining Furniture	116730	/116730/117066	10	https://www.worldmarket.com/category/dining/dining-furniture.do	true	
117067	Shop All Kitchen	116731	/116731/117067	5	https://www.worldmarket.com/category/kitchen/all.do	true	
117068	Cooking	116731	/116731/117068	6	https://www.worldmarket.com/category/kitchen/cooking.do	true	
117069	Cookware	117068	/116731/117068/117069	0	https://www.worldmarket.com/category/kitchen/cooking/cookware.do	true	
117071	Cookbooks	117068	/116731/117068/117071	117071	https://www.worldmarket.com/category/kitchen/cooking/cookbooks.do	true	
117075	Baking	116731	/116731/117075	8	https://www.worldmarket.com/category/kitchen/baking.do	true	
117076	Bakeware	117075	/116731/117075/117076	0	https://www.worldmarket.com/category/kitchen/baking/bakeware.do	true	
117077	Measuring Cups and Spoons	117075	/116731/117075/117077	117077	https://www.worldmarket.com/category/kitchen/baking/measuring-cups-spoons.do	true	
117078	Mixing Bowls	117075	/116731/117075/117078	117078	https://www.worldmarket.com/category/kitchen/baking/mixing-bowls.do	true	
117079	Kitchen Tools	116731	/116731/117079	1	https://www.worldmarket.com/category/kitchen/kitchen-tools.do	true	
117080	Tools and Gadgets	117079	/116731/117079/117080	0	https://www.worldmarket.com/category/kitchen/kitchen-tools/tools-gadgets.do	true	
117081	Novelty Ceramics	117079	/116731/117079/117081	7	https://www.worldmarket.com/category/kitchen/kitchen-tools/novelty-ceramics.do	true	
117082	Mixing Bowls	117079	/116731/117079/117082	2	https://www.worldmarket.com/category/kitchen/kitchen-tools/mixing-bowls.do	true	
117083	Cutting Boards	117079	/116731/117079/117083	1	https://www.worldmarket.com/category/kitchen/kitchen-tools/cutting-boards.do	true	
117084	Cutlery	117079	/116731/117079/117084	5	https://www.worldmarket.com/category/kitchen/kitchen-tools/cutlery.do	true	
117085	Small Kitchen Appliances	117079	/116731/117079/117085	3	https://www.worldmarket.com/category/kitchen/kitchen-tools/small-kitchen-appliances.do	true	
117086	Compost and Trash Cans	117079	/116731/117079/117086	6	https://www.worldmarket.com/category/kitchen/kitchen-tools/compost-trash-cans.do	true	
117087	Cleaning Supplies	117079	/116731/117079/117087	4	https://www.worldmarket.com/category/kitchen/kitchen-tools/cleaning-supplies.do	true	
117088	Coffee and Tea Accessories	116731	/116731/117088	7	https://www.worldmarket.com/category/kitchen/coffee-tea.do	true	
117089	Coffee Makers	117088	/116731/117088/117089	0	https://www.worldmarket.com/category/kitchen/coffee-tea/coffee-makers.do	true	
117090	Slow Brew	117088	/116731/117088/117090	2	https://www.worldmarket.com/category/kitchen/coffee-tea/slow-brew-coffee.do	true	
117091	Carafes, Creamers and Sugar Bowls	117088	/116731/117088/117091	3	https://www.worldmarket.com/category/kitchen/coffee-tea/carafes-creamers-sugar-bowls.do	true	
117092	Teapots and Tea Kettles	117088	/116731/117088/117092	1	https://www.worldmarket.com/category/kitchen/coffee-tea/teapots-tea-kettles.do	true	
117093	Tea Infusers	117088	/116731/117088/117093	4	https://www.worldmarket.com/category/kitchen/coffee-tea/tea-infusers.do	true	
117094	Kitchen Linens	116731	/116731/117094	4	https://www.worldmarket.com/category/kitchen/kitchen-linens.do	true	
117095	Kitchen Towels	117094	/116731/117094/117095	0	https://www.worldmarket.com/category/kitchen/kitchen-linens/kitchen-towels.do	true	
117096	Aprons	117094	/116731/117094/117096	117096	https://www.worldmarket.com/category/kitchen/kitchen-linens/aprons.do	true	
117097	Pot Holders	117094	/116731/117094/117097	117097	https://www.worldmarket.com/category/kitchen/kitchen-linens/pot-holders.do	true	
117098	Storage	116731	/116731/117098	2	https://www.worldmarket.com/category/kitchen/storage.do	true	
117099	Storage Containers	117098	/116731/117098/117099	0	https://www.worldmarket.com/category/kitchen/storage/containers.do	true	
117100	Spice Jars	117098	/116731/117098/117100	117100	https://www.worldmarket.com/category/kitchen/storage/spice-jars.do	true	
117101	Salt and Pepper Shakers	117098	/116731/117098/117101	117101	https://www.worldmarket.com/category/kitchen/storage/salt-pepper-shakers.do	true	
117102	Cookie Jars	117098	/116731/117098/117102	117102	https://www.worldmarket.com/category/kitchen/storage/cookie-jars.do	true	
117103	Pot Racks	117098	/116731/117098/117103	117103	https://www.worldmarket.com/category/kitchen/storage/pot-racks.do	true	
117104	Lunch Bags and Containers	117098	/116731/117098/117104	117104	https://www.worldmarket.com/category/kitchen/storage/lunch-bags-containers.do	true	
117105	Dinnerware and Drinkware Storage	117098	/116731/117098/117105	117105	https://www.worldmarket.com/category/kitchen/storage/dinnerware-drinkware-storage.do	true	
117106	Outdoor BBQ and Grilling	116731	/116731/117106	10	https://www.worldmarket.com/category/kitchen/outdoor-bbq-grilling.do	true	
117107	Food	116732	/116732/117107	5	https://www.worldmarket.com/category/food-and-drink/food.do	true	
117108	Baking Products	117107	/116732/117107/117108	9	https://www.worldmarket.com/category/food-and-drink/food/baking-products.do	true	
117109	Cookies and Cakes	117107	/116732/117107/117109	6	https://www.worldmarket.com/category/food-and-drink/food/cookies-cakes.do	true	
117110	Candy and Chocolate	117107	/116732/117107/117110	7	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate.do	true	
117111	World Market Candy	117110	/116732/117107/117110/117111	0	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/world-market-candy.do	true	
117112	Chocolate Bars	117110	/116732/117107/117110/117112	117112	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/chocolate-bars.do	true	
117113	Licorice Candy	117110	/116732/117107/117110/117113	117113	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/licorice.do	true	
117114	Novelty Candy	117110	/116732/117107/117110/117114	117114	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/novelty.do	true	
117115	Gummy Candy	117110	/116732/117107/117110/117115	117115	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/gummy-candy.do	true	
117116	Ginger Candy	117110	/116732/117107/117110/117116	117116	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/ginger-candy.do	true	
117117	Marzipan	117110	/116732/117107/117110/117117	117117	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/marzipan.do	true	
117118	Gum and Mints	117110	/116732/117107/117110/117118	117118	https://www.worldmarket.com/category/food-and-drink/food/candy-chocolate/gum-mints.do	true	
